Pair,CeX,DeX
btc-usdt,1,1
btc-krw,1,0
ftm-usdt,1,1
yfi-usdt,1,1
zil-usdt,1,0
vet-btc,1,0
matic-btc,1,1
kava-usdt,1,0
dent-usdt,1,0
fet-usdt,1,0
dka-krw,1,0
ant-usdt,1,0
elf-krw,1,0
atom-krw,1,0
grs-krw,1,0
bchsv-krw,1,0
knc-krw,1,0
bch-btc,1,1
jst-krw,1,0
rose-busd,1,0
tko-usdt,1,0
tel-usdt,1,0
dappt-usdt,1,0
stox-usdt,1,0
bnbup-usdt,1,0
vite-usdt,1,0
bcd-usdt,1,0
algo-busd,1,0
ht-eth,1,0
dora-usdt,1,0
bts-usdt,1,0
fun-usdt,1,1
tvk-usdt,1,0
lsk-usdt,1,1
gods-usdt,1,0
iq-usdt,1,0
card-usdt,1,0
pond-busd,1,0
crv-busd,1,0
kmd-usdt,1,0
ctsi-btc,1,0
nsure-usdt,1,0
dash-eth,1,0
doge-usdc,1,1
agix-btc,1,0
stafi-usdt,1,0
gtx-usdt,1,0
rad-usdt,1,0
cvp-usdt,1,1
ltc-bch,1,0
fet-busd,1,0
adx-usdt,1,1
cover-usdt,1,1
torn-busd,1,0
usdc-weth,1,1
weth-usdt,1,1
dai-weth,1,1
shib-weth,1,1
saitama-weth,1,1
wbtc-weth,1,1
uni-weth,1,1
usdc-usdt,1,1
hex-weth,1,1
kishu-weth,1,1
sushi-weth,1,1
elon-weth,1,1
link-weth,1,1
weth-ampl,0,1
strong-weth,1,1
hex-usdc,1,1
matic-weth,1,1
dai-usdc,1,1
yfi-weth,1,1
sand-weth,0,1
pols-weth,1,1
weth-swap,1,1
feg-weth,1,1
weth-crv,1,1
akita-weth,0,1
weth-superf,0,1
wbtc-usdc,1,1
ern-weth,0,1
cel-weth,1,1
snx-weth,1,1
kp3r-weth,1,1
weth-hoge,1,1
spell-weth,1,1
bal-weth,1,1
leash-weth,0,1
axs-weth,1,1
weth-rari,1,1
albt-weth,0,1
gala-weth,1,1
api3-weth,0,1
cvx-weth,1,1
1inch-weth,0,1
weth-alcx,1,1
comp-weth,1,1
weth-ens,1,1
ilv-weth,1,1
dai-usdt,1,1
ersdl-weth,0,1
xor-weth,0,1
ren-weth,1,1
bid-weth,0,1
mkr-weth,1,1
prq-weth,1,1
mta-weth,0,1
